Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS
Date,,,,,,
2023-10-03,827.84814453125,831.4000244140625,836.75,824.25,826.0,2453090
2023-10-04,821.0771484375,824.5999755859375,845.4500122070312,819.3499755859375,830.9500122070312,4096647
2023-10-05,821.6746215820312,825.2000122070312,832.0,820.25,830.8499755859375,2083505
2023-10-06,827.200927734375,830.75,836.5,826.4000244140625,830.0,1877058
2023-10-09,786.6747436523438,790.0499877929688,818.7999877929688,785.0,815.0,5994282
2023-10-10,815.9989624023438,819.5,823.7000122070312,800.5499877929688,800.5499877929688,7591327
2023-10-11,811.3687744140625,814.8499755859375,827.4000244140625,812.3499755859375,827.4000244140625,3281387
2023-10-12,811.4683837890625,814.9500122070312,823.25,812.5499877929688,818.5499877929688,2563606
2023-10-13,810.2734985351562,813.75,824.7999877929688,805.8499755859375,812.0,3801000
2023-10-16,802.2081298828125,805.6500244140625,818.5,803.25,818.5,2664794
2023-10-17,801.6604614257812,805.0999755859375,814.4000244140625,804.0,812.0,2162192
2023-10-18,795.188232421875,798.5999755859375,809.0499877929688,795.4000244140625,808.9500122070312,2271927
2023-10-19,789.4627685546875,792.8499755859375,797.2999877929688,787.4500122070312,796.75,2862500
2023-10-20,790.2593994140625,793.6500244140625,803.0,788.6500244140625,791.7999877929688,2434862
2023-10-23,768.1542358398438,771.4500122070312,795.7999877929688,769.9000244140625,793.6500244140625,2002377
2023-10-25,765.8142700195312,769.0999755859375,783.3499755859375,761.0499877929688,772.5,2581498
2023-10-26,767.0588989257812,770.3499755859375,771.7999877929688,754.5,764.0,3855358
2023-10-27,779.0574951171875,782.4000244140625,786.4000244140625,773.0499877929688,774.9000244140625,2995404
2023-10-30,781.6463623046875,785.0,794.4000244140625,779.7999877929688,785.9000244140625,3522068
2023-10-31,781.3973999023438,784.75,791.0999755859375,782.5,789.7999877929688,2825760
2023-11-01,765.8142700195312,769.0999755859375,790.5,767.2000122070312,784.75,2693768
2023-11-02,770.9920654296875,774.2999877929688,783.5,772.0499877929688,776.9000244140625,1741799
2023-11-03,792.001953125,795.4000244140625,798.7999877929688,777.2999877929688,780.0,4310765
2023-11-06,799.0715942382812,802.5,806.25,799.2999877929688,801.5,2270316
2023-11-07,794.1427001953125,797.5499877929688,808.4000244140625,796.0,803.0,2394891
2023-11-08,815.202392578125,818.7000122070312,823.7999877929688,800.0499877929688,802.0,5123208
2023-11-09,802.7557983398438,806.2000122070312,827.7000122070312,798.0999755859375,825.0,4982049
2023-11-10,805.1455078125,808.5999755859375,818.7999877929688,806.2000122070312,808.0,3903183
2023-11-13,806.39013671875,809.8499755859375,828.0,807.5,810.0,1050882
2023-11-15,807.2863159179688,810.75,818.0,809.0499877929688,818.0,1694698
2023-11-16,810.1241455078125,813.5999755859375,818.4000244140625,808.0999755859375,814.4000244140625,1689762
2023-11-17,806.5892944335938,810.0499877929688,821.9500122070312,809.0499877929688,811.7000122070312,3218979
2023-11-20,800.1668701171875,803.5999755859375,816.0,801.0999755859375,810.0499877929688,3227659
2023-11-21,797.9264526367188,801.3499755859375,814.9000244140625,799.2999877929688,805.0,3643664
2023-11-22,788.5169067382812,791.9000244140625,804.9500122070312,788.5499877929688,804.0,3212329
2023-11-23,789.7117309570312,793.0999755859375,804.7000122070312,791.4500122070312,795.0,3776615
2023-11-24,792.1512451171875,795.5499877929688,802.9500122070312,785.0,795.9000244140625,4421350
2023-11-28,834.1212158203125,837.7000122070312,854.4000244140625,806.0,806.0,15929818
2023-11-29,831.9804077148438,835.5499877929688,850.0,833.2999877929688,850.0,8057644
