Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BAJFINANCE.NS,BAJFINANCE.NS,BAJFINANCE.NS,BAJFINANCE.NS,BAJFINANCE.NS,BAJFINANCE.NS
Date,,,,,,
2023-10-03,7927.8017578125,7967.60009765625,7975.5,7755.0,7780.7998046875,944555
2023-10-04,7814.818359375,7854.0498046875,8043.0,7820.0,8025.0,1176384
2023-10-05,7811.68408203125,7850.89990234375,7914.85009765625,7826.89990234375,7914.85009765625,795061
2023-10-06,8127.74755859375,8168.5498046875,8192.0,7845.0,7850.0,2145034
2023-10-09,7987.6015625,8027.7001953125,8135.0,8018.0,8102.0498046875,747800
2023-10-10,8043.22216796875,8083.60009765625,8135.0,8021.0,8055.0,965024
2023-10-11,8061.48046875,8101.9501953125,8173.0,8095.4501953125,8139.7998046875,712372
2023-10-12,7974.26806640625,8014.2998046875,8127.0,8003.0,8125.0,764092
2023-10-13,8011.431640625,8051.64990234375,8082.89990234375,7956.0498046875,7999.5498046875,662282
2023-10-16,7995.85986328125,8036.0,8069.0,7982.64990234375,8044.2998046875,438246
2023-10-17,8052.5751953125,8093.0,8159.0,8057.5498046875,8080.0,838283
2023-10-18,7827.255859375,7866.5498046875,8084.60009765625,7850.0,8050.0,1544642
2023-10-19,7802.380859375,7841.5498046875,7923.0,7731.0,7843.2998046875,1061453
2023-10-20,7730.392578125,7769.2001953125,7832.35009765625,7722.5,7810.0,771153
2023-10-23,7759.94384765625,7798.89990234375,7884.89990234375,7761.35009765625,7800.0,882230
2023-10-25,7656.01611328125,7694.4501953125,7856.9501953125,7676.0,7798.89990234375,708774
2023-10-26,7384.7275390625,7421.7998046875,7656.0,7401.2001953125,7625.10009765625,1324630
2023-10-27,7469.701171875,7507.2001953125,7549.0,7416.60009765625,7509.9501953125,911944
2023-10-30,7465.57177734375,7503.0498046875,7526.85009765625,7352.5,7505.7998046875,799276
2023-10-31,7455.2236328125,7492.64990234375,7579.7001953125,7460.5,7569.7998046875,749410
2023-11-01,7434.57763671875,7471.89990234375,7549.0,7457.64990234375,7520.0,462778
2023-11-02,7411.8916015625,7449.10009765625,7615.0,7411.2001953125,7530.0,855030
2023-11-03,7374.47900390625,7411.5,7537.9501953125,7372.4501953125,7528.0,1138755
2023-11-06,7524.27685546875,7562.0498046875,7571.9501953125,7442.60009765625,7456.0,634043
2023-11-07,7458.1591796875,7495.60009765625,7640.0,7446.0,7640.0,1563007
2023-11-08,7422.6875,7459.9501953125,7536.0,7406.64990234375,7527.0,916717
2023-11-09,7349.80322265625,7386.7001953125,7485.0,7366.7001953125,7485.0,771791
2023-11-10,7407.61279296875,7444.7998046875,7454.0,7346.4501953125,7370.0,496261
2023-11-13,7324.08251953125,7360.85009765625,7450.0,7319.0,7447.7998046875,732240
2023-11-15,7188.2138671875,7224.2998046875,7476.2001953125,7119.14990234375,7439.39990234375,1923440
2023-11-16,7325.67431640625,7362.4501953125,7380.7001953125,6931.25,6944.5498046875,4557043
2023-11-17,7184.9306640625,7221.0,7260.0,7108.0498046875,7140.5,2080034
2023-11-20,7033.2919921875,7068.60009765625,7239.0,7050.10009765625,7151.0,1902940
2023-11-21,7067.66943359375,7103.14990234375,7128.85009765625,7030.0,7085.0,1666225
2023-11-22,7092.74365234375,7128.35009765625,7177.85009765625,7065.5,7086.4501953125,1041404
2023-11-23,7038.31689453125,7073.64990234375,7160.0,7056.0,7135.0,606158
2023-11-24,6985.73046875,7020.7998046875,7116.7998046875,7011.0,7108.0,726499
2023-11-28,7091.947265625,7127.5498046875,7135.0,7029.89990234375,7035.0,728158
2023-11-29,7094.48486328125,7130.10009765625,7168.60009765625,7114.0498046875,7134.0,682430
