Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS
Date,,,,,,
2023-10-03,4437.68896484375,4495.4501953125,4553.25,4486.60009765625,4524.7998046875,543482
2023-10-04,4474.2626953125,4532.5,4540.0,4466.75,4490.0,318564
2023-10-05,4475.64453125,4533.89990234375,4548.2001953125,4500.0,4540.25,302015
2023-10-06,4480.13623046875,4538.4501953125,4549.4501953125,4515.0,4533.85009765625,238131
2023-10-09,4464.39111328125,4522.5,4535.0,4493.5,4511.0,255764
2023-10-10,4471.74560546875,4529.9501953125,4541.9501953125,4503.0,4522.2001953125,222750
2023-10-11,4496.42431640625,4554.9501953125,4568.9501953125,4520.64990234375,4522.0,368192
2023-10-12,4502.1494140625,4560.75,4591.60009765625,4531.0,4582.0,518582
2023-10-13,4515.92041015625,4574.7001953125,4582.0,4515.0,4550.0,445822
2023-10-16,4527.12451171875,4586.0498046875,4591.4501953125,4555.0,4559.9501953125,292118
2023-10-17,4541.24072265625,4600.35009765625,4609.89990234375,4562.2001953125,4586.2001953125,196669
2023-10-18,4548.49658203125,4607.7001953125,4623.0,4586.25,4605.0,217179
2023-10-19,4543.31396484375,4602.4501953125,4616.0,4561.7001953125,4600.0498046875,228881
2023-10-20,4521.15234375,4580.0,4608.0,4558.75,4603.0,351045
2023-10-23,4472.38720703125,4530.60009765625,4600.0,4516.35009765625,4572.7001953125,203004
2023-10-25,4475.49658203125,4533.75,4585.60009765625,4470.0,4470.0,330082
2023-10-26,4449.8798828125,4507.7998046875,4524.7998046875,4476.75,4517.60009765625,488909
2023-10-27,4456.29638671875,4514.2998046875,4544.0,4491.0,4512.0,382794
2023-10-30,4404.2734375,4461.60009765625,4508.7001953125,4441.0,4500.0,450526
2023-10-31,4369.62451171875,4426.5,4479.75,4401.89990234375,4460.10009765625,504625
2023-11-01,4340.79931640625,4397.2998046875,4456.0,4347.7001953125,4442.60009765625,395359
2023-11-02,4469.080078125,4527.25,4568.7998046875,4454.25,4512.10009765625,822845
2023-11-03,4481.2216796875,4539.5498046875,4582.39990234375,4524.14990234375,4528.0,335012
2023-11-06,4564.19189453125,4623.60009765625,4628.14990234375,4546.0498046875,4554.89990234375,205763
2023-11-07,4595.38623046875,4655.2001953125,4670.0,4590.85009765625,4610.10009765625,282612
2023-11-08,4610.58837890625,4670.60009765625,4686.5,4650.5,4670.9501953125,385727
2023-11-09,4592.326171875,4652.10009765625,4685.5,4630.5,4670.60009765625,208210
2023-11-10,4621.79248046875,4681.9501953125,4685.85009765625,4621.0,4657.4501953125,142336
2023-11-13,4636.00732421875,4696.35009765625,4703.14990234375,4644.0,4662.2998046875,260394
2023-11-15,4650.271484375,4710.7998046875,4725.0,4667.39990234375,4723.0,269650
2023-11-16,4641.68359375,4702.10009765625,4729.0,4679.60009765625,4710.0,178375
2023-11-17,4657.67529296875,4718.2998046875,4745.60009765625,4690.10009765625,4703.0,138652
2023-11-20,4651.4560546875,4712.0,4739.4501953125,4690.89990234375,4691.25,126069
2023-11-21,4639.36376953125,4699.75,4730.0,4665.0,4730.0,129602
2023-11-22,4633.88525390625,4694.2001953125,4712.85009765625,4662.75,4709.89990234375,72533
2023-11-23,4645.33544921875,4705.7998046875,4710.9501953125,4678.9501953125,4699.0,109775
2023-11-24,4584.47802734375,4644.14990234375,4715.0,4640.5,4705.7998046875,123628
2023-11-28,4652.8876953125,4713.4501953125,4722.89990234375,4626.0,4632.25,182790
2023-11-29,4741.9287109375,4803.64990234375,4832.10009765625,4701.39990234375,4715.9501953125,363702
