Price,Adj Close,Close,High,Low,Open,Volume
Ticker,CIPLA.NS,CIPLA.NS,CIPLA.NS,CIPLA.NS,CIPLA.NS,CIPLA.NS
Date,,,,,,
2023-10-03,1172.8553466796875,1182.800048828125,1185.699951171875,1170.949951171875,1184.0,1581125
2023-10-04,1157.23779296875,1167.050048828125,1185.0,1161.300048828125,1178.0999755859375,999123
2023-10-05,1151.3377685546875,1161.0999755859375,1172.949951171875,1155.25,1170.0999755859375,1446743
2023-10-06,1153.2218017578125,1163.0,1181.699951171875,1160.449951171875,1165.0,928951
2023-10-09,1149.751220703125,1159.5,1166.8499755859375,1151.6500244140625,1159.0,822110
2023-10-10,1145.3387451171875,1155.050048828125,1163.5999755859375,1150.5,1160.0999755859375,822199
2023-10-11,1162.0965576171875,1171.949951171875,1175.0,1146.5,1151.0,1465239
2023-10-12,1148.164794921875,1157.9000244140625,1186.3499755859375,1152.449951171875,1179.050048828125,2533930
2023-10-13,1157.931884765625,1167.75,1169.199951171875,1150.0,1156.0,940547
2023-10-16,1154.610107421875,1164.4000244140625,1170.0999755859375,1158.800048828125,1166.300048828125,802207
2023-10-17,1163.633544921875,1173.5,1178.050048828125,1160.6500244140625,1168.0,877856
2023-10-18,1200.421630859375,1210.5999755859375,1219.449951171875,1176.1500244140625,1185.0,7367540
2023-10-19,1213.014892578125,1223.300048828125,1225.0,1189.6500244140625,1210.5,2157683
2023-10-20,1190.1090087890625,1200.199951171875,1221.8499755859375,1198.25,1221.8499755859375,692067
2023-10-23,1173.8470458984375,1183.800048828125,1210.199951171875,1178.449951171875,1200.0,957929
2023-10-25,1147.718505859375,1157.449951171875,1188.75,1154.050048828125,1184.5,1433911
2023-10-26,1141.1739501953125,1150.8499755859375,1155.0,1132.0,1154.800048828125,2016469
2023-10-27,1164.377197265625,1174.25,1197.9000244140625,1149.25,1152.0,1775011
2023-10-30,1183.415771484375,1193.449951171875,1212.4000244140625,1177.5,1186.0,2853500
2023-10-31,1189.9107666015625,1200.0,1206.0999755859375,1191.0999755859375,1199.949951171875,1720955
2023-11-01,1191.1502685546875,1201.25,1208.699951171875,1186.550048828125,1200.0,1051902
2023-11-02,1198.3392333984375,1208.5,1211.8499755859375,1194.6500244140625,1205.5,1556467
2023-11-03,1196.207275390625,1206.3499755859375,1219.75,1204.0,1215.0,772013
2023-11-06,1193.9761962890625,1204.0999755859375,1217.0,1197.25,1211.949951171875,1262938
2023-11-07,1206.222412109375,1216.449951171875,1217.5,1200.75,1205.0,1210644
2023-11-08,1230.5660400390625,1241.0,1242.4000244140625,1220.0,1222.0,1107006
2023-11-09,1227.739990234375,1238.1500244140625,1245.0,1232.0,1242.0,751433
2023-11-10,1229.673583984375,1240.0999755859375,1242.0,1230.0,1237.8499755859375,576673
2023-11-13,1230.119873046875,1240.550048828125,1243.0,1230.6500244140625,1243.0,689808
2023-11-15,1231.3096923828125,1241.75,1260.0,1237.699951171875,1260.0,1323010
2023-11-16,1224.418212890625,1234.800048828125,1246.300048828125,1232.6500244140625,1241.050048828125,1251094
2023-11-17,1238.8953857421875,1249.4000244140625,1256.0999755859375,1235.5,1236.0,992848
2023-11-20,1236.61474609375,1247.0999755859375,1256.0,1241.0,1241.5,848916
2023-11-21,1242.7130126953125,1253.25,1255.0,1242.1500244140625,1246.949951171875,594738
2023-11-22,1260.8095703125,1271.5,1283.550048828125,1254.0,1256.949951171875,1735497
2023-11-23,1160.8074951171875,1170.6500244140625,1270.0,1164.550048828125,1270.0,7643376
2023-11-24,1188.5721435546875,1198.6500244140625,1205.0,1178.0,1190.050048828125,5331201
2023-11-28,1182.2755126953125,1192.300048828125,1202.75,1188.0,1200.0,1691543
2023-11-29,1191.44775390625,1201.550048828125,1206.800048828125,1191.75,1198.75,2173427
