Price,Adj Close,Close,High,Low,Open,Volume
Ticker,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS
Date,,,,,,
2023-10-03,1085.909423828125,1092.3399658203125,1117.3800048828125,1090.0,1117.3800048828125,2065240
2023-10-04,1077.1812744140625,1083.56005859375,1099.800048828125,1080.300048828125,1093.0,2109530
2023-10-05,1075.08349609375,1081.449951171875,1095.0,1080.0,1092.0,2058530
2023-10-06,1078.5927734375,1084.97998046875,1097.43994140625,1081.8399658203125,1087.0,1572990
2023-10-09,1092.50048828125,1098.969970703125,1105.469970703125,1080.030029296875,1082.010009765625,2368110
2023-10-10,1089.2596435546875,1095.7099609375,1097.4000244140625,1085.5999755859375,1096.800048828125,1519630
2023-10-11,1106.96484375,1113.52001953125,1117.5999755859375,1102.0,1102.0,1961240
2023-10-12,1099.5289306640625,1106.0400390625,1116.81005859375,1103.0,1113.52001953125,1695245
2023-10-13,1085.611328125,1092.0400390625,1104.8199462890625,1084.3199462890625,1085.43994140625,1633255
2023-10-16,1092.1524658203125,1098.6199951171875,1101.4000244140625,1092.0,1097.800048828125,859220
2023-10-17,1102.29248046875,1108.8199462890625,1114.5999755859375,1097.010009765625,1097.4000244140625,1626760
2023-10-18,1128.805419921875,1135.489990234375,1138.949951171875,1108.3599853515625,1108.9000244140625,3014855
2023-10-19,1119.55029296875,1126.1800537109375,1134.949951171875,1122.0999755859375,1134.949951171875,2525845
2023-10-20,1107.302734375,1113.8599853515625,1124.010009765625,1110.199951171875,1124.010009765625,1141375
2023-10-23,1103.853271484375,1110.3900146484375,1133.3900146484375,1105.0999755859375,1105.0999755859375,1809785
2023-10-25,1096.278076171875,1102.77001953125,1122.43994140625,1100.0,1120.0,2104480
2023-10-26,1078.00634765625,1084.3900146484375,1103.5,1068.1800537109375,1099.5999755859375,1544145
2023-10-27,1073.105224609375,1079.4599609375,1090.7900390625,1070.199951171875,1084.3800048828125,2159725
2023-10-30,1062.7763671875,1069.0699462890625,1078.7900390625,1041.1099853515625,1078.7900390625,2691600
2023-10-31,1067.1903076171875,1073.510009765625,1088.18994140625,1070.6199951171875,1074.800048828125,1884070
2023-11-01,1062.9952392578125,1069.2900390625,1084.0799560546875,1062.9000244140625,1077.0,1376665
2023-11-02,1061.41455078125,1067.699951171875,1083.0,1064.6800537109375,1076.0,2365835
2023-11-03,1046.413330078125,1052.6099853515625,1075.4000244140625,1049.4200439453125,1075.4000244140625,2921805
2023-11-06,1061.3349609375,1067.6199951171875,1071.4300537109375,1056.6400146484375,1060.0,2847485
2023-11-07,1074.5069580078125,1080.8699951171875,1094.6099853515625,1063.9599609375,1074.800048828125,3498735
2023-11-08,1084.2890625,1090.7099609375,1100.0699462890625,1081.3199462890625,1085.780029296875,2096955
2023-11-09,1085.163818359375,1091.5899658203125,1099.7900390625,1088.0,1095.780029296875,1642660
2023-11-10,1078.5927734375,1084.97998046875,1090.1400146484375,1074.4000244140625,1087.989990234375,1144920
2023-11-13,1077.5887451171875,1083.969970703125,1096.3599853515625,1076.4200439453125,1086.0,855910
2023-11-15,1077.608642578125,1083.989990234375,1091.030029296875,1081.0,1086.18994140625,1422405
2023-11-16,1102.322265625,1108.8499755859375,1115.0,1084.1700439453125,1085.0,1695060
2023-11-17,1115.703125,1122.31005859375,1127.9000244140625,1109.0,1113.0,2120630
2023-11-20,1114.231689453125,1120.8299560546875,1131.219970703125,1117.1800537109375,1122.989990234375,2001625
2023-11-21,1122.6419677734375,1129.2900390625,1135.7900390625,1121.0999755859375,1122.0,1903465
2023-11-22,1126.24072265625,1132.9100341796875,1146.0,1131.02001953125,1131.02001953125,2124580
2023-11-23,1122.2841796875,1128.9300537109375,1136.8900146484375,1121.77001953125,1135.0,1511300
2023-11-24,1122.582275390625,1129.22998046875,1151.3699951171875,1123.0,1129.989990234375,2305405
2023-11-28,1128.4774169921875,1135.1600341796875,1142.8900146484375,1129.4000244140625,1129.4000244140625,1555790
2023-11-29,1136.3408203125,1143.0699462890625,1148.800048828125,1130.800048828125,1139.5799560546875,1602385
