Price,Adj Close,Close,High,Low,Open,Volume
Ticker,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS
Date,,,,,,
2023-10-03,2202.8349609375,2231.52490234375,2259.469970703125,2225.514892578125,2250.68994140625,500130
2023-10-04,2269.067626953125,2298.6201171875,2335.8798828125,2255.10009765625,2280.5048828125,2134880
2023-10-05,2262.404296875,2291.8701171875,2310.719970703125,2277.5,2300.5,680000
2023-10-06,2261.767578125,2291.22509765625,2306.760009765625,2281.489990234375,2298.9951171875,388120
2023-10-09,2258.7666015625,2288.18505859375,2298.080078125,2280.0,2281.205078125,237550
2023-10-10,2267.275634765625,2296.804931640625,2301.699951171875,2282.534912109375,2296.0,396630
2023-10-11,2290.375,2320.205078125,2327.389892578125,2293.0,2296.804931640625,673380
2023-10-12,2277.84814453125,2307.514892578125,2330.0,2296.205078125,2322.300048828125,542220
2023-10-13,2325.152099609375,2355.43505859375,2359.985107421875,2295.5400390625,2307.5048828125,907910
2023-10-16,2281.14501953125,2310.85498046875,2355.0,2297.5048828125,2355.0,866080
2023-10-17,2302.54150390625,2332.530029296875,2336.219970703125,2313.0,2313.0,381660
2023-10-18,2296.38623046875,2326.294921875,2344.715087890625,2320.0,2332.530029296875,356710
2023-10-19,2382.208984375,2413.235107421875,2422.699951171875,2310.050048828125,2325.68994140625,2924120
2023-10-20,2396.75439453125,2427.969970703125,2474.5,2400.179931640625,2409.9951171875,2079340
2023-10-23,2388.66455078125,2419.77490234375,2467.4951171875,2412.8349609375,2430.0,792300
2023-10-25,2395.076416015625,2426.27001953125,2452.969970703125,2415.31005859375,2428.0,1113500
2023-10-26,2324.2880859375,2354.56005859375,2426.06005859375,2342.10009765625,2426.0,1269400
2023-10-27,2374.765869140625,2405.695068359375,2422.800048828125,2344.034912109375,2355.050048828125,1304370
2023-10-30,2386.09326171875,2417.169921875,2425.0,2386.5048828125,2410.0,726140
2023-10-31,2392.322021484375,2423.47998046875,2433.0,2412.205078125,2430.0,516390
2023-11-01,2370.270263671875,2387.27001953125,2420.0048828125,2378.0,2420.0,636900
2023-11-02,2394.010009765625,2411.179931640625,2414.97998046875,2377.31005859375,2399.02001953125,1070680
2023-11-03,2382.815185546875,2399.905029296875,2420.0,2397.68505859375,2414.2900390625,477140
2023-11-06,2411.658447265625,2428.955078125,2439.050048828125,2405.8701171875,2415.0048828125,742760
2023-11-07,2419.596435546875,2436.949951171875,2448.0,2412.0048828125,2428.699951171875,529650
2023-11-08,2410.8642578125,2428.155029296875,2441.27001953125,2422.0048828125,2436.905029296875,363050
2023-11-09,2405.42333984375,2422.675048828125,2441.5,2419.235107421875,2435.0,422230
2023-11-10,2396.531982421875,2413.719970703125,2424.949951171875,2405.56494140625,2422.675048828125,283170
2023-11-13,2391.43359375,2408.5849609375,2429.800048828125,2403.199951171875,2429.800048828125,285280
2023-11-15,2400.19091796875,2417.405029296875,2424.89990234375,2400.800048828125,2424.5,766970
2023-11-16,2391.140625,2408.2900390625,2427.25,2404.60009765625,2419.5048828125,694180
2023-11-17,2419.948974609375,2437.304931640625,2448.489990234375,2406.4599609375,2410.0,700510
2023-11-20,2412.948974609375,2430.2548828125,2440.3798828125,2416.60009765625,2437.5048828125,541150
2023-11-21,2419.98876953125,2437.344970703125,2441.985107421875,2418.02490234375,2430.5,453290
2023-11-22,2417.744873046875,2435.0849609375,2452.0,2426.0,2437.0048828125,368210
2023-11-23,2421.959716796875,2439.330078125,2458.989990234375,2435.114990234375,2441.405029296875,368140
2023-11-24,2396.705810546875,2413.89501953125,2447.284912109375,2410.804931640625,2445.0,404120
2023-11-28,2404.614013671875,2421.860107421875,2426.0,2388.31494140625,2413.800048828125,876970
2023-11-29,2389.611572265625,2406.75,2433.5,2401.10498046875,2422.10009765625,627150
