Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS
Date,,,,,,
2023-10-03,8255.9404296875,8304.900390625,8377.0,8221.2001953125,8289.0,454402
2023-10-04,8072.97509765625,8120.85009765625,8292.5498046875,8045.0498046875,8292.5498046875,884369
2023-10-05,8129.24169921875,8177.4501953125,8208.7998046875,8125.0,8177.0,310506
2023-10-06,8147.13525390625,8195.4501953125,8239.650390625,8151.25,8198.0,158491
2023-10-09,8062.28857421875,8110.10009765625,8199.849609375,8087.2001953125,8170.0498046875,152525
2023-10-10,8110.2041015625,8158.2998046875,8186.35009765625,8105.0,8147.7998046875,187020
2023-10-11,8293.8154296875,8343.0,8390.0,8179.2001953125,8195.9501953125,439622
2023-10-12,8302.513671875,8351.75,8385.0,8302.0,8364.9501953125,177704
2023-10-13,8319.662109375,8369.0,8417.0,8307.0,8316.5,285076
2023-10-16,8243.3154296875,8292.2001953125,8455.0,8274.0,8369.0498046875,363990
2023-10-17,8252.4609375,8301.400390625,8332.0,8280.0,8330.0,205234
2023-10-18,8229.4970703125,8278.2998046875,8349.849609375,8248.0,8324.900390625,322136
2023-10-19,8468.330078125,8518.5498046875,8538.0,8193.349609375,8249.599609375,837498
2023-10-20,8411.1689453125,8461.0498046875,8648.349609375,8410.900390625,8536.0,539291
2023-10-23,8276.169921875,8325.25,8523.599609375,8302.5498046875,8415.0,217546
2023-10-25,8207.67578125,8256.349609375,8398.5,8186.25,8355.0,255678
2023-10-26,8156.9267578125,8205.2998046875,8236.0,8155.5498046875,8236.0,637430
2023-10-27,8161.7490234375,8210.150390625,8270.0,8180.0,8211.0,227682
2023-10-30,8352.0693359375,8401.599609375,8416.2998046875,8197.4501953125,8242.0,244073
2023-10-31,8372.5986328125,8422.25,8452.099609375,8351.099609375,8404.7001953125,218908
2023-11-01,8332.0390625,8381.4501953125,8445.0,8370.099609375,8440.0,209234
2023-11-02,8409.1318359375,8459.0,8473.2001953125,8374.9501953125,8385.5,200590
2023-11-03,8472.3564453125,8522.599609375,8530.0,8436.0,8475.0,243686
2023-11-06,8590.0087890625,8640.9501953125,8650.0,8521.2001953125,8539.0,194715
2023-11-07,8634.544921875,8685.75,8695.0,8582.5498046875,8640.9501953125,206360
2023-11-08,8647.5673828125,8698.849609375,8719.150390625,8652.849609375,8689.0,132370
2023-11-09,8576.1904296875,8627.0498046875,8719.0,8617.75,8685.0,128138
2023-11-10,8659.49609375,8710.849609375,8729.9501953125,8588.599609375,8591.0498046875,149939
2023-11-13,8626.244140625,8677.400390625,8723.7998046875,8660.0,8711.099609375,64412
2023-11-15,8715.216796875,8766.900390625,8815.75,8695.25,8709.0,192348
2023-11-16,8723.318359375,8775.0498046875,8811.7001953125,8700.0,8789.599609375,233428
2023-11-17,8739.125,8790.9501953125,8869.599609375,8771.650390625,8785.0,151817
2023-11-20,8610.4375,8661.5,8815.2001953125,8651.099609375,8800.0,174311
2023-11-21,8657.0107421875,8708.349609375,8737.900390625,8664.7998046875,8664.7998046875,183507
2023-11-22,8708.2578125,8759.900390625,8775.0,8612.25,8734.0,325320
2023-11-23,8554.51953125,8605.25,8767.0,8590.0,8750.0,344271
2023-11-24,8505.7587890625,8556.2001953125,8655.0,8545.0498046875,8638.0,197278
2023-11-28,8675.0546875,8726.5,8735.5,8588.25,8638.0,343335
2023-11-29,8681.267578125,8732.75,8790.0,8692.0,8759.900390625,207727
