Price,Adj Close,Close,High,Low,Open,Volume
Ticker,WIPRO.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS
Date,,,,,,
2023-10-03,404.587158203125,405.45001220703125,408.1000061035156,403.6000061035156,406.45001220703125,2864052
2023-10-04,404.038330078125,404.8999938964844,405.45001220703125,400.6499938964844,402.70001220703125,3452935
2023-10-05,405.93426513671875,406.79998779296875,410.3999938964844,405.0,407.95001220703125,4062652
2023-10-06,406.9820556640625,407.8500061035156,409.79998779296875,406.95001220703125,408.0,3182502
2023-10-09,404.7368469238281,405.6000061035156,411.0,403.3999938964844,404.20001220703125,3015225
2023-10-10,406.88226318359375,407.75,408.75,406.20001220703125,406.3999938964844,2564007
2023-10-11,420.25372314453125,421.1499938964844,423.95001220703125,409.0,409.0,9546114
2023-10-12,416.2123718261719,417.1000061035156,421.8999938964844,414.70001220703125,421.75,5117199
2023-10-13,410.17523193359375,411.04998779296875,414.3999938964844,409.04998779296875,411.8999938964844,5457027
2023-10-16,409.3270568847656,410.20001220703125,411.8999938964844,408.1499938964844,411.0,2638826
2023-10-17,410.52447509765625,411.3999938964844,413.8500061035156,411.04998779296875,411.70001220703125,2989694
2023-10-18,406.5829162597656,407.45001220703125,413.6499938964844,407.0,409.0,2440533
2023-10-19,394.458740234375,395.29998779296875,396.75,390.1000061035156,391.95001220703125,12814551
2023-10-20,391.01611328125,391.8500061035156,396.04998779296875,391.0,395.04998779296875,4214668
2023-10-23,382.3345947265625,383.1499938964844,393.0,382.20001220703125,390.8500061035156,4418913
2023-10-25,381.0373840332031,381.8500061035156,387.70001220703125,381.1000061035156,384.3999938964844,3339147
2023-10-26,377.4450378417969,378.25,380.54998779296875,375.04998779296875,378.79998779296875,5497791
2023-10-27,381.53631591796875,382.3500061035156,384.3500061035156,379.04998779296875,379.04998779296875,3101406
2023-10-30,381.1870422363281,382.0,384.3500061035156,380.3999938964844,384.0,2344372
2023-10-31,380.9874572753906,381.79998779296875,384.1000061035156,379.1499938964844,383.20001220703125,3076768
2023-11-01,380.1393127441406,380.95001220703125,385.54998779296875,380.1499938964844,383.8500061035156,2120976
2023-11-02,382.8335266113281,383.6499938964844,385.1499938964844,382.1000061035156,383.79998779296875,2371365
2023-11-03,382.7337341308594,383.54998779296875,386.70001220703125,382.6499938964844,386.0,2645764
2023-11-06,383.8314208984375,384.6499938964844,386.45001220703125,383.0,386.0,2469968
2023-11-07,382.4842834472656,383.29998779296875,387.0,382.8500061035156,384.8999938964844,2846089
2023-11-08,381.38665771484375,382.20001220703125,385.8500061035156,381.5,384.6000061035156,3551026
2023-11-09,380.0395202636719,380.8500061035156,384.0,379.70001220703125,383.0,4615563
2023-11-10,378.4927978515625,379.29998779296875,381.79998779296875,377.0,380.29998779296875,5355350
2023-11-13,380.8377990722656,381.6499938964844,382.8999938964844,380.0,382.6000061035156,1792951
2023-11-15,390.8165283203125,391.6499938964844,392.25,384.25,385.54998779296875,5396259
2023-11-16,396.2549133300781,397.1000061035156,399.5,389.29998779296875,391.6499938964844,6921788
2023-11-17,394.55853271484375,395.3999938964844,399.0,394.5,398.0,3943464
2023-11-20,399.34832763671875,400.20001220703125,401.1000061035156,393.20001220703125,393.20001220703125,4305248
2023-11-21,399.79736328125,400.6499938964844,402.6000061035156,400.04998779296875,402.6000061035156,2720124
2023-11-22,399.3982238769531,400.25,402.6000061035156,399.1000061035156,402.5,2659291
2023-11-23,401.6434326171875,402.5,405.0,400.5,400.5,4838680
2023-11-24,395.1572570800781,396.0,403.5,395.54998779296875,402.5,3125283
2023-11-28,396.0054626464844,396.8500061035156,398.75,393.1000061035156,397.0,4072657
2023-11-29,405.38543701171875,406.25,408.54998779296875,398.0,398.0,7772043
