Price,Adj Close,Close,High,Low,Open,Volume
2024-11-01,24304.349609375,24304.349609375,24368.25,24280.19921875,24302.75,38800
2024-11-04,23995.349609375,23995.349609375,24316.75,23816.150390625,24315.75,285500
2024-11-05,24213.30078125,24213.30078125,24229.05078125,23842.75,23916.5,289500
2024-11-06,24484.05078125,24484.05078125,24537.599609375,24204.05078125,24308.75,351100
2024-11-07,24199.349609375,24199.349609375,24503.349609375,24179.05078125,24489.599609375,322200
2024-11-08,24148.19921875,24148.19921875,24276.150390625,24066.650390625,24207.69921875,298700
2024-11-11,24141.30078125,24141.30078125,24336.80078125,24004.599609375,24087.25,273400
2024-11-12,23883.44921875,23883.44921875,24242.0,23839.150390625,24225.80078125,255800
2024-11-13,23559.05078125,23559.05078125,23873.599609375,23509.599609375,23822.44921875,304600
2024-11-14,23532.69921875,23532.69921875,23675.900390625,23484.150390625,23542.150390625,257700
2024-11-18,23453.80078125,23453.80078125,23606.80078125,23350.400390625,23605.30078125,263300
2024-11-19,23518.5,23518.5,23780.650390625,23464.80078125,23529.55078125,297500
2024-11-21,23349.900390625,23349.900390625,23507.30078125,23263.150390625,23488.44921875,420300
2024-11-22,23907.25,23907.25,23956.099609375,23359.0,23411.80078125,367600
2024-11-25,24221.900390625,24221.900390625,24351.55078125,24135.44921875,24253.55078125,687200
2024-11-26,24194.5,24194.5,24343.30078125,24125.400390625,24343.30078125,230700
2024-11-27,24274.900390625,24274.900390625,24354.55078125,24145.650390625,24204.80078125,295000
2024-11-28,23914.150390625,23914.150390625,24345.75,23873.349609375,24274.150390625,366700
